Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RunAutoBill,,,,2022-12-20 14:37:41,2022-12-20 14:38:28,47.027s,FAILED
,,,,,,,
Test Cases/B. QuickRun,,,,2022-12-20 14:37:42,2022-12-20 14:38:02,20.263s,PASSED
"callTestCase(findTestCase(""A. Start""), [""ID"":1], CONTINUE_ON_FAILURE)",,,,2022-12-20 14:37:42,2022-12-20 14:38:02,19.531s,PASSED
"callTestCase(findTestCase(""Sprint 2-4/1. Entry Point""), [""ID"":1], CONTINUE_ON_FAILURE)",,,,2022-12-20 14:38:02,2022-12-20 14:38:02,0.003s,NOT_RUN
"callTestCase(findTestCase(""Sprint 2-4/1a. DuitNowRequest - Validation""), [""ID"":1], CONTINUE_ON_FAILURE)",,,,2022-12-20 14:38:02,2022-12-20 14:38:02,0.001s,NOT_RUN
"callTestCase(findTestCase(""Sprint 2-4/2a. Fav Transaction""), [:], CONTINUE_ON_FAILURE)",,,,2022-12-20 14:38:02,2022-12-20 14:38:02,0.002s,NOT_RUN
"callTestCase(findTestCase(""Sprint 9/Sprint 9 - AutoDebit Entry""), [:], CONTINUE_ON_FAILURE)",,,,2022-12-20 14:38:02,2022-12-20 14:38:02,0.003s,NOT_RUN
,,,,,,,
Test Cases/Sprint 9/Sprint 9 - AutoDebit Transaction,,,,2022-12-20 14:38:02,2022-12-20 14:38:28,26.373s,FAILED
"tap(findTestObject(""Text"", [""Verify"":findTestData(""AutoBill"").getValue(4, 8)]), 0)",,tap set autobill,,2022-12-20 14:38:03,2022-12-20 14:38:15,12.169s,FAILED
"verifyEqual(getText(findTestObject(""Text"", [""Verify"":findTestData(""AutoBill"").getValue(4, 10)]), 0), findTestData(""AutoBill"").getValue(4, 10))",,set up auto billing via duitnow autodebit,,2022-12-20 14:38:15,2022-12-20 14:38:25,10.377s,FAILED
"takeScreenshot(""Screenshot/AutoBill/"")",,,,2022-12-20 14:38:25,2022-12-20 14:38:27,1.196s,PASSED
"verifyEqual(getText(findTestObject(""Text"", [""Verify"":findTestData(""AutoBill"").getValue(4, 11)]), 0), findTestData(""AutoBill"").getValue(4, 11))",,Please fill in merchants details,,2022-12-20 14:38:27,2022-12-20 14:38:28,1.557s,FAILED
"takeAreaScreenshot(findTestObject(""Text"", [""Verify"":""Be Right Back!""]), CONTINUE_ON_FAILURE)",,,,2022-12-20 14:38:28,2022-12-20 14:38:28,0.178s,ERROR
